dfk_flurst,inj_well_id,inj_x_coord,inj_y_coord,ex_well_id,ex_x_coord,ex_y_coord,gwm,kf,fa,d_vel,st_distance,max_potential_pump,max_demand_pump,buildings_per_plot,plume_length,plume_width
8662/1584/6,29412,680016.834741137,5336022.28647915,48354,680017.430642445,5336009.94242654,8.7,0.00353002,6.4,4.354e-05,12.3584276224078,7.49015626642053,0.331258388225935,1,10.2750704637856,5.23518493347669
8662/1578/26,54913,680068.058147315,5335866.31871145,73855,680056.780779096,5335838.75753163,8.3,0.00342178,7.2,4.337e-05,29.7791481875681,17.1514076035633,0.990183762330947,1,57.3216161690357,12.5651154652039
8662/1586/8,53344,680062.145099206,5336066.51687889,72286,680045.684297891,5336048.65291807,8.8,0.00348084,6.3,4.199e-05,24.2915433071237,14.361626800803,0.424639863166269,1,15.478694183815,6.45011778626398
8662/1584/10,53151,680014.740539461,5336099.79624265,72093,679996.277066518,5336078.80416893,8.8,0.00350438,5.6,4.244e-05,27.9565196720979,16.7055637039644,0.234290121718377,1,6.24295053836051,4.06176585641684
8662/1675/4,53282,680330.585706051,5335753.91374175,72224,680339.543372063,5335729.99142668,8.0,0.0025136,7.9,3.187e-05,25.5444111077095,10.4204848896346,0.591845921042164,1,44.4376322675292,11.0369928792288
8662/1435/0,31316,679932.005546356,5335979.15639228,50258,679921.686886739,5335972.37902416,8.6,0.0036098,7.1,4.458e-05,12.3453414289267,7.57288921560536,0.481004192521877,1,17.6567804861376,6.89747123851172
8662/1647/2,41440,680235.710942933,5336039.2344017,60382,680217.862893361,5336031.07312511,8.6,0.00316903,6.5,3.998e-05,19.6254760221605,10.7964610715958,0.494465337311058,1,21.6689523819024,7.65566774106687
8662/1665/5,124189,680263.103128749,5335885.68428957,143131,680259.633083856,5335872.10595471,8.3,0.00291427,7.4,3.7e-05,14.0147204500048,6.88627304031436,0.546070516109785,2,29.7919798868193,9.00335225690253
8662/1575/6,53103,680160.506041267,5335812.84170222,72045,680143.549519409,5335804.1926444,8.1,0.00314366,7.3,3.948e-05,19.0349634782366,9.73944464124532,0.56202380071599,1,29.2741851460578,8.92330829175983
8662/1647/5,54891,680222.524192807,5336113.34772864,73833,680199.523494612,5336092.10243626,8.7,0.00326378,5.9,4e-05,31.3112530206513,17.4341056818986,1.76772387509944,1,143.846325893105,20.0764108144737
