dfk_flurst,gwm,kf,fa,dvel,max_demand_pump,buildings_per_plot
8662/1589/4,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0699649178163926,1
8662/1589/5,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.051533829404649,1
8662/1589/6,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0873050948523883,1
8662/1589/7,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.243552842670089,1
8662/1662/3,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0815205709942132,1
8662/1589/9,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0848768996632556,1
8662/1589/10,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0488597563916043,1
8662/1589/11,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0556044869961095,1
8662/1590/0,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.1242662203714,1
8662/1590/2,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0575643296988917,1
8662/1590/5,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0726778622453984,1
8662/1590/6,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0563989618547095,1
8662/1590/7,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.103037838910321,1
8662/1590/9,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0739177818190735,1
8662/1590/10,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0428007036077419,1
8662/1590/11,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.043620297593749,1
8662/1590/12,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.129824019763298,1
8662/1592/0,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0617905838264622,1
8662/1592/2,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.190800588280969,1
8662/1592/3,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.136056916745676,1
8662/1592/4,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0995938634060222,1
8662/1592/5,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.202451937301795,1
8662/1592/6,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.126503859646255,1
8662/1592/7,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0668483418200543,1
8662/1592/8,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.206033724989375,1
8662/1597/45,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0360187292804132,1
8662/1594/0,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.32150842416713,2
8662/1594/3,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.26989356062216,2
8662/1597/4,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.160868895200575,1
8662/1597/6,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.27703127881126,1
8662/1597/13,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0490637331627816,1
8662/1662/4,8.51061949343685,0.00321404608872907,6.73755265915895,3.9908791713283e-05,0.0966525339605061,1
